"","activity","motion","dimention","mean","std"
"1","LAYING","fBodyAcc","X",-0.966812071347737,-0.959031456047479
"2","LAYING","fBodyAcc","Y",-0.952678416904835,-0.942460971074588
"3","LAYING","fBodyAcc","Z",-0.960018019984568,-0.945643635450566
"4","LAYING","fBodyAccJerk","X",-0.980197655180041,-0.982459599243827
"5","LAYING","fBodyAccJerk","Y",-0.971383628894033,-0.973051242896091
"6","LAYING","fBodyAccJerk","Z",-0.976614530180041,-0.980971915740741
"7","LAYING","fBodyAccMag","",-0.94767271172428,-0.934916672889661
"8","LAYING","fBodyBodyAccJerkMag","",-0.974300115365226,-0.97318339962963
"9","LAYING","fBodyBodyGyroJerkMag","",-0.977968240452675,-0.976648216795267
"10","LAYING","fBodyBodyGyroMag","",-0.95485445779321,-0.942115714415638
"11","LAYING","fBodyGyro","X",-0.962915035776389,-0.96974730340535
"12","LAYING","fBodyGyro","Y",-0.967582058544239,-0.961365374902263
"13","LAYING","fBodyGyro","Z",-0.964184423173868,-0.966725247165638
"14","LAYING","tBodyAcc","X",0.268648643296245,-0.960932405036523
"15","LAYING","tBodyAcc","Y",-0.0183177280685082,-0.943507185574074
"16","LAYING","tBodyAcc","Z",-0.107435631519084,-0.948069300024897
"17","LAYING","tBodyAccJerk","X",0.0818473898341049,-0.980381808513375
"18","LAYING","tBodyAccJerk","Y",0.0111723565401199,-0.971147567757202
"19","LAYING","tBodyAccJerk","Z",-0.00485976942268338,-0.979476595910494
"20","LAYING","tBodyAccJerkMag","",-0.97920875497428,-0.974240573559671
"21","LAYING","tBodyAccMag","",-0.941110656500514,-0.932160020511831
"22","LAYING","tBodyGyro","X",-0.0167253403420918,-0.967892432932613
"23","LAYING","tBodyGyro","Y",-0.0934107103603086,-0.963192469243827
"24","LAYING","tBodyGyro","Z",0.125885141252623,-0.963509228024691
"25","LAYING","tBodyGyroJerk","X",-0.101864299363374,-0.976124813760288
"26","LAYING","tBodyGyroJerk","Y",-0.038198085408019,-0.980473581049383
"27","LAYING","tBodyGyroJerk","Z",-0.0638498197415123,-0.984782526095679
"28","LAYING","tBodyGyroJerkMag","",-0.982726626075103,-0.976754966054527
"29","LAYING","tBodyGyroMag","",-0.938435972026749,-0.940596109587449
"30","LAYING","tGravityAcc","X",-0.375021333827161,-0.943319727953189
"31","LAYING","tGravityAcc","Y",0.622270362899691,-0.963191706084414
"32","LAYING","tGravityAcc","Z",0.55561247407572,-0.951868724368827
"33","LAYING","tGravityAccMag","",-0.941110656500514,-0.932160020511831
"34","SITTING","fBodyAcc","X",-0.983091966702307,-0.983747266764209
"35","SITTING","fBodyAcc","Y",-0.947917966193585,-0.932533490271469
"36","SITTING","fBodyAcc","Z",-0.957031035425999,-0.934336687975915
"37","SITTING","fBodyAccJerk","X",-0.985188769302195,-0.98618495368036
"38","SITTING","fBodyAccJerk","Y",-0.973988189836804,-0.975750855391109
"39","SITTING","fBodyAccJerk","Z",-0.97956197226224,-0.983670821046708
"40","SITTING","fBodyAccMag","",-0.952410413225098,-0.942000150701182
"41","SITTING","fBodyBodyAccJerkMag","",-0.978684370388295,-0.978154770658413
"42","SITTING","fBodyBodyGyroJerkMag","",-0.985335632976927,-0.984491355740011
"43","SITTING","fBodyBodyGyroMag","",-0.964296113911086,-0.951641735873945
"44","SITTING","fBodyGyro","X",-0.977267261395611,-0.982333273978616
"45","SITTING","fBodyGyro","Y",-0.972457592965672,-0.964033658897017
"46","SITTING","fBodyGyro","Z",-0.961028716797974,-0.961030235486775
"47","SITTING","tBodyAcc","X",0.273059614418965,-0.983446221750141
"48","SITTING","tBodyAcc","Y",-0.0126895730832639,-0.934880562895515
"49","SITTING","tBodyAcc","Z",-0.105517003220878,-0.938981580616207
"50","SITTING","tBodyAccJerk","X",0.0758788492274395,-0.984997226336522
"51","SITTING","tBodyAccJerk","Y",0.00504690529678683,-0.973883160517726
"52","SITTING","tBodyAccJerk","Z",-0.0024866605775919,-0.982296486972425
"53","SITTING","tBodyAccJerkMag","",-0.98244444337085,-0.978907079240293
"54","SITTING","tBodyAccMag","",-0.95464392144063,-0.939324188353517
"55","SITTING","tBodyGyro","X",-0.0384313168439482,-0.981022213218908
"56","SITTING","tBodyGyro","Y",-0.0721208098964153,-0.966708127310073
"57","SITTING","tBodyGyro","Z",0.0777771461510523,-0.958007496724817
"58","SITTING","tBodyGyroJerk","X",-0.0956521058184581,-0.985705127658976
"59","SITTING","tBodyGyroJerk","Y",-0.040779780524009,-0.986502338745076
"60","SITTING","tBodyGyroJerk","Z",-0.0507555280236061,-0.983805514068655
"61","SITTING","tBodyGyroJerkMag","",-0.987880071435003,-0.98460762855937
"62","SITTING","tBodyGyroMag","",-0.946724138930782,-0.951199015615082
"63","SITTING","tGravityAcc","X",0.879731193472144,-0.979682230393922
"64","SITTING","tGravityAcc","Y",0.108713540331707,-0.957672740350591
"65","SITTING","tGravityAcc","Z",0.153774088505577,-0.947357438593134
